video_id,frame_no,parsed_json,schema_conformant,node_tp,node_fp,node_fn,node_precision,node_recall,node_f1,edge_tp,edge_fp,edge_fn,edge_precision,edge_recall,edge_f1,box_mean_iou,box_median_iou,box_std_iou,box_min_iou,box_max_iou,box_match_count,box_iou@0.5_coverage,box_iou@0.75_coverage,gen_wall_time_s
0JVmVXLrNZo,23,1,1,1,2,5,0.3333333333333333,0.16666666666666666,0.2222222222222222,0,2,4,0.0,0.0,0.0,0.4135338366031647,0.4135338366031647,0.0,0.4135338366031647,0.4135338366031647,1,0.0,0.0,16.443061
0JVmVXLrNZo,62,1,1,3,0,1,1.0,0.75,0.8571428571428571,2,1,2,0.6666666666666666,0.5,0.5714285714285715,0.7357473373413086,0.6525423526763916,0.1910766363143921,0.5546995401382446,1.0,3,1.0,0.3333333333333333,16.832017
0JVmVXLrNZo,64,1,1,1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,3,5,0.0,0.0,0.0,0.4117647111415863,0.4117647111415863,0.0,0.4117647111415863,0.4117647111415863,1,0.0,0.0,17.160832
0JVmVXLrNZo,150,1,1,2,1,0,0.6666666666666666,1.0,0.8,1,1,0,0.5,1.0,0.6666666666666666,0.6818181872367859,0.6818181872367859,0.3181818127632141,0.3636363744735718,1.0,2,0.5,0.5,14.735224
1mB0G1AwUPg,99,1,1,6,3,2,0.6666666666666666,0.75,0.7058823529411765,1,8,4,0.1111111111111111,0.2,0.14285714285714285,0.6156319379806519,0.5988792181015015,0.12811590731143951,0.4545454680919647,0.8333333134651184,6,0.8333333333333334,0.16666666666666666,47.67609
1mB0G1AwUPg,279,1,1,8,1,2,0.8888888888888888,0.8,0.8421052631578948,0,7,8,0.0,0.0,0.0,0.5510034561157227,0.4996478855609894,0.18603971600532532,0.31578946113586426,0.8522727489471436,8,0.5,0.25,44.535809
1mB0G1AwUPg,290,1,1,9,7,1,0.5625,0.9,0.6923076923076923,0,14,11,0.0,0.0,0.0,0.5394918918609619,0.43478259444236755,0.18158921599388123,0.375,0.8586761951446533,9,0.4444444444444444,0.2222222222222222,79.770745
1mB0G1AwUPg,304,1,1,9,1,3,0.9,0.75,0.8181818181818182,2,6,6,0.25,0.25,0.25,0.5533743500709534,0.4938271641731262,0.17082449793815613,0.375,0.8215329051017761,9,0.4444444444444444,0.2222222222222222,50.650083
3rtzSsuJ4Ng,5,1,1,5,1,4,0.8333333333333334,0.5555555555555556,0.6666666666666667,2,3,4,0.4,0.3333333333333333,0.3636363636363636,0.5536511540412903,0.5108621716499329,0.1608818769454956,0.32786884903907776,0.739130437374115,5,0.6,0.0,30.283462
3rtzSsuJ4Ng,19,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.022936
3rtzSsuJ4Ng,143,1,1,5,5,6,0.5,0.45454545454545453,0.47619047619047616,1,8,8,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.5671967267990112,0.4716981053352356,0.15844951570034027,0.4166666567325592,0.800000011920929,5,0.4,0.2,51.360901
3rtzSsuJ4Ng,163,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.021581
4eWzsx1vAi8,64,1,1,2,3,5,0.4,0.2857142857142857,0.3333333333333333,1,5,5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.4094703793525696,0.4094703793525696,0.10512256622314453,0.30434781312942505,0.5145929455757141,2,0.5,0.0,28.62527
4eWzsx1vAi8,66,1,1,5,2,2,0.7142857142857143,0.7142857142857143,0.7142857142857143,1,5,6,0.16666666666666666,0.14285714285714285,0.15384615384615383,0.5470513105392456,0.5333333611488342,0.188485786318779,0.3076923191547394,0.7692307829856873,5,0.6,0.4,35.942912
4eWzsx1vAi8,94,1,1,4,0,0,1.0,1.0,1.0,3,2,0,0.6,1.0,0.7499999999999999,0.6886501908302307,0.6293464303016663,0.19817756116390228,0.495907723903656,1.0,4,0.75,0.25,24.443486
4eWzsx1vAi8,196,1,1,6,1,3,0.8571428571428571,0.6666666666666666,0.75,2,4,6,0.3333333333333333,0.25,0.28571428571428575,0.6992545127868652,0.696969747543335,0.21053338050842285,0.3571428656578064,1.0,6,0.8333333333333334,0.3333333333333333,36.738243
8fVUcbC8MgM,24,1,1,7,7,5,0.5,0.5833333333333334,0.5384615384615384,0,13,8,0.0,0.0,0.0,0.5813274383544922,0.5714285969734192,0.16311825811862946,0.3589743673801422,0.8333333134651184,7,0.5714285714285714,0.2857142857142857,71.777277
8fVUcbC8MgM,73,1,1,4,4,3,0.5,0.5714285714285714,0.5333333333333333,2,4,5,0.3333333333333333,0.2857142857142857,0.30769230769230765,0.5924999713897705,0.6433333158493042,0.16090671718120575,0.3333333432674408,0.75,4,0.75,0.25,39.587574
