size,variant,ckpt,node_micro_f1,edge_micro_f1,box_mean_iou,box_iou@0.5_coverage,box_iou@0.75_coverage,validity_rate,conformity_rate,node_macro_f1,winner,result_path,pred_dir
3B,qkvo,step1k,0.612983,0.220518,0.602923,0.65,0.26,96.00,96.00,0.629554,,results_valdev/3B__qkvo__step1k__frozen.csv,preds_valdev/3B/QKVO/step1k
3B,qkvo,step2k,0.626766,0.229126,0.607547,0.66,0.25,100.00,100.00,0.654723,,results_valdev/3B__qkvo__step2k__frozen.csv,preds_valdev/3B/QKVO/step2k
3B,qkvo,best,0.634146,0.219178,0.605906,0.64,0.28,98.00,98.00,0.637654,,results_valdev/3B__qkvo__best__frozen.csv,preds_valdev/3B/QKVO/best
3B,qkvo,final,0.636213,0.203686,0.603102,0.65,0.27,99.00,99.00,0.652662,WINNER,results_valdev/3B__qkvo__final__frozen.csv,preds_valdev/3B/QKVO/final
3B,qkvo_gate,step1k,0.637562,0.239544,0.605058,0.65,0.27,100.00,100.00,0.653503,,results_valdev/3B__qkvo_gate__step1k__frozen.csv,preds_valdev/3B/QKVO-Gate/step1k
3B,qkvo_gate,step2k,0.649459,0.249027,0.617425,0.68,0.28,100.00,100.00,0.662516,,results_valdev/3B__qkvo_gate__step2k__frozen.csv,preds_valdev/3B/QKVO-Gate/step2k
3B,qkvo_gate,best,0.654852,0.249513,0.629730,0.71,0.30,99.00,99.00,0.662560,,results_valdev/3B__qkvo_gate__best__frozen.csv,preds_valdev/3B/QKVO-Gate/best
3B,qkvo_gate,final,0.657851,0.235741,0.612635,0.69,0.25,100.00,100.00,0.666882,WINNER,results_valdev/3B__qkvo_gate__final__frozen.csv,preds_valdev/3B/QKVO-Gate/final
7B,qkvo,step1k,0.608167,0.249467,0.622670,0.72,0.28,99.00,99.00,0.622725,,results_valdev/7B__qkvo__step1k__frozen.csv,preds_valdev/7B/QKVO/step1k
7B,qkvo,step2k,0.637417,0.240848,0.614625,0.71,0.27,100.00,100.00,0.652057,,results_valdev/7B__qkvo__step2k__frozen.csv,preds_valdev/7B/QKVO/step2k
7B,qkvo,best,0.668880,0.257005,0.618519,0.68,0.31,100.00,99.00,0.663818,WINNER,results_valdev/7B__qkvo__best__frozen.csv,preds_valdev/7B/QKVO/best
7B,qkvo,final,0.645270,0.220907,0.609094,0.67,0.29,98.00,97.00,0.645950,,results_valdev/7B__qkvo__final__frozen.csv,preds_valdev/7B/QKVO/final
7B,qkvo_gate,step1k,0.663948,0.289773,0.620414,0.72,0.28,99.00,99.00,0.679559,WINNER,results_valdev/7B__qkvo_gate__step1k__frozen.csv,preds_valdev/7B/QKVO-Gate/step1k
7B,qkvo_gate,step2k,0.653595,0.238691,0.616725,0.68,0.28,100.00,100.00,0.669566,,results_valdev/7B__qkvo_gate__step2k__frozen.csv,preds_valdev/7B/QKVO-Gate/step2k
7B,qkvo_gate,best,0.646667,0.235294,0.635127,0.72,0.32,100.00,100.00,0.661197,,results_valdev/7B__qkvo_gate__best__frozen.csv,preds_valdev/7B/QKVO-Gate/best
7B,qkvo_gate,final,0.651050,0.249531,0.619665,0.70,0.30,100.00,100.00,0.668351,,results_valdev/7B__qkvo_gate__final__frozen.csv,preds_valdev/7B/QKVO-Gate/final
